"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,640,614.5",""
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","Solid fuels","Gross inland consumption","240,724.0",""
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","Total petroleum products","Gross inland consumption","567,142.5",""
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","Gas","Gross inland consumption","382,969.5",""
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","Nuclear heat","Gross inland consumption","216,702.6",""
"2016","European Union (current composition)","Thousand tonnes of oil equivalent (TOE)","Renewable energies","Gross inland consumption","216,617.7",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","57,451.1",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","Solid fuels","Gross inland consumption","2,955.0",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","Total petroleum products","Gross inland consumption","23,841.2",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","Gas","Gross inland consumption","14,300.0",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","Nuclear heat","Gross inland consumption","11,226.9",""
"2016","Belgium","Thousand tonnes of oil equivalent (TOE)","Renewable energies","Gross inland consumption","3,915.9",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","18,128.0",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","Solid fuels","Gross inland consumption","5,695.2",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","Total petroleum products","Gross inland consumption","4,231.2",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","Gas","Gross inland consumption","2,686.5",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","Nuclear heat","Gross inland consumption","4,084.1",""
"2016","Bulgaria","Thousand tonnes of oil equivalent (TOE)","Renewable energies","Gross inland consumption","1,947.3",""
"2016","Czechia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","41,807.2",""
"2016","Czechia","Thousand tonnes of oil equivalent (TOE)","Solid fuels","Gross inland consumption","16,617.1",""
"2016","Czechia","Thousand tonnes of oil equivalent (TOE)","Total petroleum products","Gross inland consumption","8,265.2",""
"2016","Czechia","Thousand tonnes of oil equivalent (TOE)","Gas","Gross inland consumption","7,016.3",""
"2016","Czechia","Thousand tonnes of oil equivalent (TOE)","Nuclear heat","Gross inland consumption","6,238.8",""
